Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
9533277.894,675520,6299463.931,168896,2.99,16/01/2023,12:26:00
9441181.086,675520,6347601.722,168896,3.02,16/01/2023,12:28:00
11108290.43,675520,6898550.129,168896,2.77,16/01/2023,12:29:00
10100734.74,675520,6624313.094,168896,2.99,16/01/2023,12:31:00
9205778.789,675520,6752763.087,168896,2.98,16/01/2023,12:32:00
8697581.261,675520,6716946.076,168896,2.98,16/01/2023,12:34:00
8515193.266,675520,6695837.066,168896,3.02,16/01/2023,12:35:00
8348606.128,675520,6360304.844,168896,3,16/01/2023,12:37:00
8208225.546,675520,6440623.179,168896,3.03,16/01/2023,12:38:00
8106982.363,675520,6290993.736,168896,3.02,16/01/2023,12:40:00
8030281.983,675520,6259768.11,168896,3.03,16/01/2023,12:41:00
7944077.315,675520,6113630.487,168896,3.02,16/01/2023,12:43:00
12958770.65,675520,7087875.478,168896,2.78,16/01/2023,12:44:00
11907300.72,675520,8052931.238,168896,3.04,16/01/2023,12:46:00
11521838.15,675520,7000647.374,168896,2.98,16/01/2023,12:47:00
10683562.78,675520,6892117.487,168896,3.02,16/01/2023,12:49:00
10101788.86,675520,6586005.29,168896,3.02,16/01/2023,12:50:00
9911440.098,675520,6350411.977,168896,3.04,16/01/2023,12:52:00
9751984.951,675520,6616359.802,168896,3.04,16/01/2023,12:53:00
9689620.919,675520,6503279.167,168896,3.04,16/01/2023,12:55:00
9615023.643,675520,6613480.853,168896,3.06,16/01/2023,12:56:00
9480096.261,675520,6388735.089,168896,3.03,16/01/2023,12:58:00
11198480.16,675520,6900083.183,168896,2.8,16/01/2023,13:00:00
9797483.925,675520,6620587.074,168896,3.03,16/01/2023,13:01:00
8810809.067,675520,6640167.625,168896,3.02,16/01/2023,13:03:00
8548532.896,675520,6666808.531,168896,3.04,16/01/2023,13:04:00
8395458.371,675520,6358518.128,168896,3.04,16/01/2023,13:06:00
8268927.951,675520,6425850.375,168896,3.04,16/01/2023,13:07:00
8179358.812,675520,6378275.864,168896,3.04,16/01/2023,13:09:00
8115426.768,675520,6341052.185,168896,3.05,16/01/2023,13:10:00
8055925.094,675520,6392549.175,168896,3.02,16/01/2023,13:12:00
8056370.087,675520,6134544.844,168896,3.04,16/01/2023,13:13:00
14394099.36,675520,7890120.196,168896,2.91,16/01/2023,13:15:00
13593783.44,675520,7463671.901,168896,3.11,16/01/2023,13:16:00
13278571.07,675520,6530878.406,168896,3.12,16/01/2023,13:18:00
12944521.27,675520,6947698.297,168896,3.11,16/01/2023,13:19:00
12718475.14,675520,7101177.165,168896,3.13,16/01/2023,13:21:00
12464037.21,675520,6951064.415,168896,3.12,16/01/2023,13:23:00
12301128.27,675520,7871002.075,168896,3.09,16/01/2023,13:24:00
11698741.39,675520,7611735.824,168896,3.11,16/01/2023,13:26:00
11342896.54,675520,6909729.181,168896,3.09,16/01/2023,13:27:00
11033357.89,675520,6632810.074,168896,3.14,16/01/2023,13:29:00
11130683.06,675520,7323493.566,168896,2.86,16/01/2023,13:30:00
10462315.63,675520,7024671.884,168896,3.1,16/01/2023,13:32:00
10193018.79,675520,6322918.271,168896,3.08,16/01/2023,13:33:00
9997494.739,675520,6556467.261,168896,3.1,16/01/2023,13:35:00
9778111.767,675520,6455525.098,168896,3.09,16/01/2023,13:36:00
9427750.651,675520,6622456.078,168896,3.14,16/01/2023,13:38:00
8736724.818,675520,6241102.628,168896,3.13,16/01/2023,13:40:00
8345567.717,675520,6282874.386,168896,3.13,16/01/2023,13:41:00
8110714.417,675520,6088627.851,168896,3.13,16/01/2023,13:43:00
7951261.406,675520,5968814.503,168896,3.04,16/01/2023,13:44:00
14711356.07,675520,8313871.893,168896,2.87,16/01/2023,13:46:00
12508058.45,675520,7839894.539,168896,3.11,16/01/2023,13:47:00
11923444.27,675520,7295057.029,168896,3.16,16/01/2023,13:49:00
11117031.32,675520,6546385.819,168896,3.14,16/01/2023,13:51:00
9933803.171,675520,6254146.459,168896,3.13,16/01/2023,13:52:00
9631521.13,675520,6401992.899,168896,3.12,16/01/2023,13:54:00
9475075.088,675520,6315919.952,168896,3.11,16/01/2023,13:55:00
9315226.949,675520,6583292.037,168896,3.14,16/01/2023,13:57:00
9199370.087,675520,6403976.333,168896,3.15,16/01/2023,13:58:00
9107488.077,675520,6100254.165,168896,3.16,16/01/2023,14:00:00
11249424.25,675520,7099212.562,168896,2.92,16/01/2023,14:02:00
10019632.73,675520,6655030.551,168896,3.15,16/01/2023,14:03:00
8772412.017,675520,6625065.042,168896,3.1,16/01/2023,14:05:00
8403324.708,675520,6366403.944,168896,3.24,16/01/2023,14:06:00
8279635.883,675520,6233614.132,168896,3.24,16/01/2023,14:08:00
8184449.293,675520,6202062.452,168896,3.31,16/01/2023,14:10:00
8037950.861,675520,6300152.094,168896,3.47,16/01/2023,14:11:00
7964619.587,675520,6149218.717,168896,3.6,16/01/2023,14:13:00
7899904.131,675520,6245162.067,168896,3.29,16/01/2023,14:15:00
16376367.04,675520,7874692.613,168896,2.56,16/01/2023,11:02:00
14616755.46,675520,8831597.412,168896,2.82,16/01/2023,11:04:00
14186246.32,675520,6674356.267,168896,2.81,16/01/2023,11:05:00
13871716.67,675520,7541654.737,168896,2.89,16/01/2023,11:07:00
13276831.4,675520,6533843.595,168896,2.78,16/01/2023,11:08:00
12479328.15,675520,6837272.121,168896,2.8,16/01/2023,11:10:00
11778922.12,675520,7206354.047,168896,2.81,16/01/2023,11:11:00
10968678.45,675520,6459251.902,168896,2.79,16/01/2023,11:12:00
10215851.34,675520,6466242.367,168896,2.82,16/01/2023,11:14:00
