Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time,,,,,,,,,,,,,,,,,,,
11027866.37,611328,9820012.827,101472,8.16,14/01/2023,18:01:00,,,,,,,,,,,,,,,,,,,
10250236.78,611328,14621604.7,101472,8.48,14/01/2023,21:55:00,,,,,,,,,,,,,,,,,,,
11265415.46,611328,64159234.04,101472,8.17,14/01/2023,21:59:00,,,,,,,,,,,,,,,,,,,
11009279.99,611328,13130212.91,101472,8.14,14/01/2023,22:03:00,,,,,,,,,,,,,,,,,,,
10748781.86,611328,10236853.59,101472,8.16,14/01/2023,22:07:00,,,,,,,,,,,,,,,,,,,
10776954.01,611328,13668590.36,101472,8.03,14/01/2023,22:11:00,,,,,,,,,,,,,,,,,,,
10738982.58,611328,10274389.16,101472,8.03,14/01/2023,22:15:00,,,,,,,,,,,,,,,,,,,
10655525.56,611328,9986396.449,101472,8,14/01/2023,22:19:00,,,,,,,,,,,,,,,,,,,
10763914.3,611328,10925035.59,101472,8.06,14/01/2023,22:23:00,,,,,,,,,,,,,,,,,,,
10677963.63,611328,12206437.1,101472,8.02,14/01/2023,22:27:00,,,,,,,,,,,,,,,,,,,
10530700.62,611328,10740271.33,101472,7.94,14/01/2023,22:31:00,,,,,,,,,,,,,,,,,,,
10655566.91,611328,11678938.81,101472,8.32,14/01/2023,22:36:00,,,,,,,,,,,,,,,,,,,
11848906.85,611328,16222868.34,101472,7.97,14/01/2023,22:40:00,,,,,,,,,,,,,,,,,,,
11097637.91,611328,11526949.85,101472,7.86,14/01/2023,22:44:00,,,,,,,,,,,,,,,,,,,
10609912.56,611328,12079331.61,101472,7.91,14/01/2023,22:48:00,,,,,,,,,,,,,,,,,,,
10566427.89,611328,9911271.993,101472,7.94,14/01/2023,22:52:00,,,,,,,,,,,,,,,,,,,
10878991.49,611328,14405653.88,101472,8.05,14/01/2023,22:56:00,,,,,,,,,,,,,,,,,,,
10634314.56,611328,12772655.5,101472,8.32,14/01/2023,23:00:00,,,,,,,,,,,,,,,,,,,
10700330.19,611328,10636559.59,101472,8.28,14/01/2023,23:04:00,,,,,,,,,,,,,,,,,,,
10610125.36,611328,10063357.07,101472,8.36,14/01/2023,23:08:00,,,,,,,,,,,,,,,,,,,
10631018.2,611328,9859936.629,101472,8.36,14/01/2023,23:12:00,,,,,,,,,,,,,,,,,,,
